# Z    element       A               Earth5.972e24         Tcond        Asplund09   
  1       H        1.00794         0.000000000000000       0              12.00      
  2       He       4.0026          0.000000000000619       0              10.93   
  3       Li       6.941           0.000002300000000       1142           1.050    
  4       Be       9.01218         0.000000046000000       1452           1.38    
  5       B        10.811          0.000000258000000       908            2.70    
  6       C        12.0107         0.001700000000000       40             8.43    
  7       N        14.0067         0.000001270000000       123            7.83    
  8       O        15.9994         0.324360000000000       180            8.69    
  9       F        18.9984         0.000005120000000       734            4.56    
  10      Ne       20.1797         0.000000000010850       9.1            7.93    
  11      Na       22.98977        0.001870000000000       958            6.24    
  12      Mg       24.305          0.158000000000000       1336           7.60    
  13      Al       26.98153        0.015070000000000       1653           6.45    
  14      Si       28.0855         0.171000000000000       1310           7.51    
  15      P        30.97376        0.000690000000000       1229           5.41    
  16      S        32.065          0.004600000000000       664            7.12    
  17      Cl       35.453          0.000010000000000       948            5.50    
  18      Ar       39.948          0.000000000038500       47             6.40    
  19      K        39.0983         0.000171000000000       1006           5.03    
  20      Ca       40.078          0.016200000000000       1517           6.34    
  21      Sc       44.95591        0.000010000000000       1659           3.15    
  22      Ti       47.867          0.000764000000000       1582           4.95    
  23      V        50.9415         0.000093000000000       1429           3.93    
  24      Cr       51.9961         0.004240000000000       1296           5.64    
  25      Mn       54.93804        0.001390000000000       1158           5.43    
  26      Fe       55.845          0.288000000000000       1334           7.50    
  27      Co       58.9332         0.000804000000000       1352           4.99    
  28      Ni       58.6934         0.016900000000000       1353           6.22    
  29      Cu       63.546          0.000064700000000       1037           4.19    
  30      Zn       65.409          0.000024000000000       726            4.56    
  31      Ga       69.723          0.000003130000000       968            3.04    
  32      Ge       72.64           0.000007300000000       883            3.65    
  33      As       74.9216         0.000001060000000       1065           2.30    
  34      Se       78.96           0.000002520000000       697            3.34    
  35      Br       79.904          0.000000400000000       546            2.54    
  36      Kr       83.798          0.000000000002820       52             3.25    
  37      Rb       85.4678         0.000000600000000       800            2.52    
  38      Sr       87.62           0.000013700000000       1464           2.87    
  39      Y        88.90585        0.000002400000000       1659           2.21    
  40      Zr       91.224          0.000006790000000       1741           2.58    
  41      Nb       92.90638        0.000000471000000       1559           1.46    
  42      Mo       95.94           0.000001664000000       1590           1.88    
  44      Ru       101.07          0.000001173000000       1551           1.75    
  45      Rh       102.9055        0.000000230000000       1392           0.91    
  46      Pd       106.42          0.000000883000000       1324           1.57    
  47      Ag       107.8682        0.000000045800000       996            0.94    
  48      Cd       112.411         0.000000182000000       652            1.71    
  49      In       114.818         0.000000009420000       536            0.80    
  50      Sn       118.71          0.000000394000000       704            2.04    
  51      Sb       121.76          0.000000040000000       979            1.01    
  52      Te       127.6           0.000000313000000       709            2.18    
  53      I        126.9044        0.000000040500000       535            1.55    
  54      Xe       131.293         0.000000000000338       68             2.24    
  55      Cs       132.9054        0.000000041200000       799            1.08    
  56      Ba       137.327         0.000004080000000       1455           2.18    
  57      La       138.9055        0.000000415000000       1578           1.10    
  58      Ce       140.116         0.000001088000000       1478           1.58    
  59      Pr       140.9076        0.000000165000000       1582           0.72    
  60      Nd       144.24          0.000000814000000       1602           1.42    
  62      Sm       150.36          0.000000259000000       1590           0.96    
  63      Eu       151.964         0.000000097900000       1356           0.52    
  64      Gd       157.25          0.000000348000000       1659           1.07    
  65      Tb       158.9253        0.000000066600000       1659           0.30    
  66      Dy       162.5           0.000000424000000       1659           1.10    
  67      Ho       164.9303        0.000000095600000       1659           0.48    
  68      Er       167.259         0.000000278000000       1659           0.92    
  69      Tm       168.9342        0.000000042100000       1659           0.10    
  70      Yb       173.04          0.000000278000000       1487           0.84    
  71      Lu       174.967         0.000000042500000       1659           0.10    
  72      Hf       178.49          0.000000199000000       1684           0.85    
  73      Ta       180.9479        0.000000027900000       1573           -0.12   
  74      W        183.84          0.000000172000000       1789           0.85    
  75      Re       186.207         0.000000062500000       1821           0.26    
  76      Os       190.23          0.000000820000000       1812           1.40    
  77      Ir       192.217         0.000000766000000       1603           1.38    
  78      Pt       195.078         0.000001562000000       1408           1.62    
  79      Au       196.9665        0.000000102000000       1060           0.92    
  80      Hg       200.59          0.000000000000000       252            1.17    
  81      Tl       204.3833        0.000000004000000       532            0.90    
  82      Pb       207.2           0.000000696000000       727            1.75    
  83      Bi       208.9803        0.000000016000000       746            0.65    
  90      Th       232.0381        0.000000051000000       1659           0.02    
  92      U        238.0289        0.000000014400000       1610           -0.54   
                                                








