#  element     Z       [X/H]    totalerro     TC
     C         6      -0.019      0.010       40
     N         7      -0.022      0.015      123
     Na        11     -0.003      0.009      958
     Mg        12      0.040      0.011      1336
     Si        14      0.042      0.015      1310 
     Ca        20      0.054      0.014      1517
     Sc        21      0.041      0.010      1659
     Ti        22      0.044      0.015      1582
     Cr        24      0.048      0.011      1296
     Mn        25      0.014      0.014      1158
     Fe        26      0.040      0.010      1334
     Co        27      0.006      0.016      1352
     Ni        28      0.022      0.012      1353
     Cu        29     -0.005      0.009      1037
     Zn        30      0.013      0.010      726 

