#  element     Z       [X/H]    totalerro     TC
     C         6       0.013      0.005       40
     O         8       0.013      0.008      180
     Na        11      0.035      0.009      958
     Mg        12      0.074      0.012      1336
     Al        13      0.087      0.018      1653
     Si        14      0.070      0.006      1310 
     S         16      0.024      0.008      664
     K         19      0.008      0.027      1006
     Ca        20      0.071      0.009      1517
     Sc        21      0.080      0.009      1659
     Ti        22      0.084      0.007      1582
     V         23      0.078      0.009      1429
     Cr        24      0.052      0.006      1296
     Mn        25      0.035      0.008      1158
     Fe        26      0.055      0.004      1334
     Co        27      0.058      0.006      1352
     Ni        28      0.061      0.006      1353
     Cu        29      0.055      0.011      1037
     Zn        30      0.020      0.006      726 

