"Z","element","A","Earth","Tcond","Asplund21","Notes","Asplund09"
1,"H",1.00794,0,0,12,"    ",12
2,"He",4.0026,6.19E-13,0,10.914," ",10.93
3,"Li",6.941,2.3E-06,1142,0.96,"  ",1.05
4,"Be",9.01218,4.6E-08,1452,1.38,"  ",1.38
5,"B",10.811,2.58E-07,908,2.7,"  ",2.7
6,"C",12.0107,0.0017,40,8.46,"  ",8.43
7,"N",14.0067,1.27E-06,123,7.83,"  ",7.83
8,"O",15.9994,0.32436,180,8.69,"  ",8.69
9,"F",18.9984,5.12E-06,734,4.4,"  ",4.56
10,"Ne",20.1797,1.085E-11,9.1,8.06,"  ",7.93
11,"Na",22.98977,0.00187,958,6.22,"  ",6.24
12,"Mg",24.305,0.158,1336,7.55,"  ",7.6
13,"Al",26.98153,0.01507,1653,6.43,"  ",6.45
14,"Si",28.0855,0.171,1310,7.51,"  ",7.51
15,"P",30.97376,0.00069,1229,5.41,"  ",5.41
16,"S",32.065,0.0046,664,7.12,"  ",7.12
17,"Cl",35.453,1E-05,948,5.31,"  ",5.5
18,"Ar",39.948,3.85E-11,47,6.38,"  ",6.4
19,"K",39.0983,0.000171,1006,5.07,"  ",5.03
20,"Ca",40.078,0.0162,1517,6.3,"  ",6.34
21,"Sc",44.95591,1E-05,1659,3.14,"  ",3.15
22,"Ti",47.867,0.000764,1582,4.97,"  ",4.95
23,"V",50.9415,9.3E-05,1429,3.9,"  ",3.93
24,"Cr",51.9961,0.00424,1296,5.62,"  ",5.64
25,"Mn",54.93804,0.00139,1158,5.42,"  ",5.43
26,"Fe",55.845,0.288,1334,7.46,"  ",7.5
27,"Co",58.9332,0.000804,1352,4.94,"  ",4.99
28,"Ni",58.6934,0.0169,1353,6.2,"  ",6.22
29,"Cu",63.546,6.47E-05,1037,4.18,"  ",4.19
30,"Zn",65.409,2.4E-05,726,4.56,"  ",4.56
31,"Ga",69.723,3.13E-06,968,3.02,"  ",3.04
32,"Ge",72.64,7.3E-06,883,3.62,"  ",3.65
33,"As",74.9216,1.06E-06,1065,2.3,"meteorites",2.3
34,"Se",78.96,2.52E-06,697,3.34,"meteorites",3.34
35,"Br",79.904,4E-07,546,2.54,"meteorites",2.54
36,"Kr",83.798,2.82E-12,52,3.12,"  ",3.25
37,"Rb",85.4678,6E-07,800,2.32,"  ",2.52
38,"Sr",87.62,1.37E-05,1464,2.83,"  ",2.87
39,"Y",88.90585,2.4E-06,1659,2.21,"  ",2.21
40,"Zr",91.224,6.79E-06,1741,2.59,"  ",2.58
41,"Nb",92.90638,4.71E-07,1559,1.47,"  ",1.46
42,"Mo",95.94,1.664E-06,1590,1.88,"  ",1.88
44,"Ru",101.07,1.173E-06,1551,1.75,"  ",1.75
45,"Rh",102.9055,2.3E-07,1392,0.78,"  ",0.91
46,"Pd",106.42,8.83E-07,1324,1.57,"  ",1.57
47,"Ag",107.8682,4.58E-08,996,0.96,"  ",0.94
48,"Cd",112.411,1.82E-07,652,1.71,"meteorites",1.71
49,"In",114.818,9.42E-09,536,0.8,"  ",0.8
50,"Sn",118.71,3.94E-07,704,2.02,"  ",2.04
51,"Sb",121.76,4E-08,979,1.01,"meteorites",1.01
52,"Te",127.6,3.13E-07,709,2.18,"meteorites",2.18
53,"I",126.9044,4.05E-08,535,1.55,"meteorites",1.55
54,"Xe",131.293,3.38E-13,68,2.22,"  ",2.24
55,"Cs",132.9054,4.12E-08,799,1.08,"meteorites",1.08
56,"Ba",137.327,4.08E-06,1455,2.27,"  ",2.18
57,"La",138.9055,4.15E-07,1578,1.11,"  ",1.1
58,"Ce",140.116,1.088E-06,1478,1.58,"  ",1.58
59,"Pr",140.9076,1.65E-07,1582,0.75,"  ",0.72
60,"Nd",144.24,8.14E-07,1602,1.42,"  ",1.42
62,"Sm",150.36,2.59E-07,1590,0.95,"  ",0.96
63,"Eu",151.964,9.79E-08,1356,0.52,"  ",0.52
64,"Gd",157.25,3.48E-07,1659,1.08,"  ",1.07
65,"Tb",158.9253,6.66E-08,1659,0.31,"  ",0.3
66,"Dy",162.5,4.24E-07,1659,1.1,"  ",1.1
67,"Ho",164.9303,9.56E-08,1659,0.48,"  ",0.48
68,"Er",167.259,2.78E-07,1659,0.93,"  ",0.92
69,"Tm",168.9342,4.21E-08,1659,0.11,"  ",0.1
70,"Yb",173.04,2.78E-07,1487,0.85,"  ",0.84
71,"Lu",174.967,4.25E-08,1659,0.1,"  ",0.1
72,"Hf",178.49,1.99E-07,1684,0.85,"  ",0.85
73,"Ta",180.9479,2.79E-08,1573,-0.15,"meteorites",-0.12
74,"W",183.84,1.72E-07,1789,0.79,"  ",0.85
75,"Re",186.207,6.25E-08,1821,0.26,"meteorites",0.26
76,"Os",190.23,8.2E-07,1812,1.35,"  ",1.4
77,"Ir",192.217,7.66E-07,1603,1.32,"meteorites",1.38
78,"Pt",195.078,1.562E-06,1408,1.61,"meteorites",1.62
79,"Au",196.9665,1.02E-07,1060,0.91,"  ",0.92
80,"Hg",200.59,0,252,1.17,"meteorites",1.17
81,"Tl",204.3833,4E-09,532,0.92,"  ",0.9
82,"Pb",207.2,6.96E-07,727,1.95,"  ",1.75
83,"Bi",208.9803,1.6E-08,746,0.65,"meteorites",0.65
90,"Th",232.0381,5.1E-08,1659,0.03,"  ",0.02
92,"U",238.0289,1.44E-08,1610,-0.54,"meteorites",-0.54
