"Z","element","CI","CM","Co","CV","H","L","LL","EH","EL"
1,"H ",0.02,0.014,0.0007,0.0028,0,0,0,0,0
2,"He",0,0,0,0,0,0,0,0,0
3,"Li",1.57E-06,1.36E-06,1.2E-06,1.24E-06,1.7E-06,1.8E-06,2.1E-06,2.1E-06,5.8E-07
4,"Be",2.7E-08,0,0,0,5.1E-08,4.3E-08,5.1E-08,0,0
5,"B ",1.2E-06,6E-07,3E-07,5E-07,4E-07,0,0,0,0
6,"C ",0.032,0.022,0.0045,0.0056,0.0011,0.0009,0.0012,0.004,0.0036
7,"N ",0.0015,0.00152,9E-05,8E-05,4.8E-05,4.3E-05,7E-05,0,0
8,"O ",0.46,0.432,0.37,0.37,0.357,0.377,0.4,0.28,0.31
9,"F ",6.4E-05,3.8E-05,3E-05,2.4E-05,3.2E-05,4.1E-05,6.3E-05,0.000238,0.00018
10,"Ne",0,0,0,0,0,0,0,0,0
11,"Na",0.0049,0.0041,0.0041,0.0033,0.0064,0.007,0.007,0.0068,0.0058
12,"Mg",0.097,0.117,0.145,0.145,0.14,0.149,0.153,0.106,0.141
13,"Al",0.0086,0.0118,0.0143,0.0175,0.0113,0.0122,0.0119,0.0081,0.0105
14,"Si",0.105,0.129,0.159,0.156,0.169,0.185,0.189,0.167,0.186
15,"P ",0.00102,0.0009,0.00104,0.00099,0.00108,0.00095,0.00085,0.002,0.00117
16,"S ",0.059,0.033,0.02,0.022,0.02,0.022,0.023,0.058,0.033
17,"Cl",0.00068,0.00016,0.00024,0.00021,8E-05,7.6E-05,0.00013,0.00066,0.00021
18,"Ar",0,0,0,0,0,0,0,0,0
19,"K ",0.00056,0.0004,0.000345,0.00031,0.00078,0.000825,0.00079,0.0008,0.000735
20,"Ca",0.0092,0.0127,0.0158,0.019,0.0125,0.0131,0.013,0.0085,0.0101
21,"Sc",5.8E-06,8.2E-06,9.6E-06,1.14E-05,7.9E-06,8.6E-06,8.4E-06,5.7E-06,7.4E-06
22,"Ti",0.00042,0.00058,0.00078,0.00098,0.0006,0.00063,0.00062,0.00045,0.00058
23,"V ",5.5E-05,7.5E-05,9.2E-05,9.6E-05,7.4E-05,7.7E-05,7.5E-05,5.4E-05,6E-05
24,"Cr",0.00265,0.00305,0.00355,0.0036,0.00366,0.00388,0.00374,0.00315,0.00305
25,"Mn",0.0019,0.0017,0.00165,0.00145,0.00232,0.00257,0.00262,0.0022,0.00163
26,"Fe",0.182,0.21,0.248,0.235,0.275,0.215,0.185,0.29,0.22
27,"Co",0.000508,0.000575,0.000688,0.000655,0.00081,0.00059,0.00049,0.00084,0.00067
28,"Ni",0.0107,0.012,0.014,0.0134,0.016,0.012,0.0102,0.0175,0.013
29,"Cu",0.000121,0.000115,0.000125,0.0001,8.2E-05,9E-05,8E-05,0.000185,0.00011
30,"Zn",0.000312,0.000185,0.0001,0.000116,4.7E-05,5E-05,4.6E-05,0.00025,1.7E-05
31,"Ga",9.8E-06,7.8E-06,7.1E-06,6E-06,6E-06,5.7E-06,5E-06,1.6E-05,1.1E-05
32,"Ge",3.3E-05,2.3E-05,2.1E-05,1.7E-05,1.3E-05,1E-05,9E-06,4.2E-05,2.8E-05
33,"As",1.84E-06,1.8E-06,1.95E-06,1.6E-06,2.05E-06,1.55E-06,1.35E-06,3.45E-06,2.2E-06
34,"Se",1.96E-05,1.27E-05,7.6E-06,8.3E-06,7.7E-06,9E-06,9.9E-06,2.55E-05,1.35E-05
35,"Br",3.6E-06,2.6E-06,1.3E-06,1.5E-06,5E-07,8E-07,6E-07,2.4E-06,8E-07
36,"Kr",0,0,0,0,0,0,0,0,0
37,"Rb",2.22E-06,1.7E-06,1.45E-06,1.25E-06,2.9E-06,3.1E-06,3.1E-06,2.6E-06,2.5E-06
38,"Sr",7.9E-06,1.01E-05,1.27E-05,1.53E-05,1E-05,1.11E-05,1.11E-05,7.2E-06,8.2E-06
39,"Y ",1.44E-06,2E-06,2.4E-06,2.4E-06,2.2E-06,2.1E-06,2E-06,1.3E-06,0
