Z,Tcond,element,[X/H],err_[X/H],[C/H],model [C/H],model [X/H]
6,40.0,C,-0.03,0.01,0.0,0.005540753301978267,-0.02445924669802173
8,180.0,O,0.026,0.015,0.055999999999999994,0.055587814267906724,0.08158781426790672
11,958.0,Na,0.042,0.009,0.07200000000000001,0.09508583714750685,0.13708583714750686
12,1336.0,Mg,0.132,0.009,0.162,0.1433349878092681,0.27533498780926813
13,1653.0,Al,0.132,0.008,0.162,0.16442881867071488,0.2964288186707149
14,1310.0,Si,0.105,0.005,0.135,0.14820438549889872,0.25320438549889873
16,664.0,S,0.042,0.01,0.07200000000000001,0.06487210534281174,0.10687210534281175
19,1006.0,K,0.088,0.013,0.118,0.07796702947317766,0.16596702947317765
20,1517.0,Ca,0.114,0.008,0.14400000000000002,0.16127809678828364,0.27527809678828363
21,1659.0,Sc,0.168,0.009,0.198,0.13645013983243412,0.30445013983243413
22,1582.0,Ti,0.125,0.009,0.155,0.13712930125204345,0.2621293012520435
23,1429.0,V,0.116,0.018,0.14600000000000002,0.18194831158340244,0.29794831158340246
24,1296.0,Cr,0.107,0.009,0.137,0.14901217080845322,0.25601217080845323
25,1158.0,Mn,0.072,0.01,0.102,0.11284189408226461,0.1848418940822646
27,1352.0,Co,0.115,0.012,0.14500000000000002,0.12270321290568548,0.23770321290568547
28,1353.0,Ni,0.124,0.008,0.154,0.1388854431472044,0.2628854431472044
29,1037.0,Cu,0.074,0.009,0.104,0.10752928219615376,0.18152928219615377
30,726.0,Zn,0.078,0.025,0.108,0.06455020737082985,0.14255020737082985
38,1464.0,Sr,0.165,0.017,0.195,0.17379486880505468,0.3387948688050547
39,1659.0,Y,0.114,0.016,0.14400000000000002,0.1416601763714464,0.2556601763714464
56,1455.0,Ba,0.13,0.012,0.16,0.13417416637863105,0.26417416637863106
57,1578.0,La,0.114,0.035,0.14400000000000002,0.1777172270691614,0.2917172270691614
58,1478.0,Ce,0.106,0.01,0.136,0.16072344728123408,0.2667234472812341
60,1602.0,Nd,0.107,0.014,0.137,0.16807446724185246,0.27507446724185247
62,1590.0,Sm,0.086,0.016,0.11599999999999999,0.15367809015469316,0.23967809015469316
63,1356.0,Eu,0.207,0.035,0.237,0.1550146630828839,0.3620146630828839
